episode,total_reward,mean_reward,steps,terminated,truncated
0,4.969721078258396,0.8282868463763994,6,True,False
1,7.012480413781911,0.8765600517227389,8,True,False
2,7.702321218013244,0.8558134686681382,9,True,False
3,5.800856243196645,0.8286937490280921,7,True,False
4,7.394612455689754,0.8216236061877504,9,True,False
5,7.235826635949405,0.8039807373277116,9,True,False
6,10.074833934990115,0.8395694945825096,12,True,False
7,5.982199671057974,0.8545999530082821,7,True,False
8,6.438822828775402,0.8048528535969253,8,True,False
9,4.234814814814815,0.8469629629629629,5,True,False
