episode,step,global_min_experience,global_least_advantaged_is_ego,global_least_advantaged_index,global_scoped_vehicle_count,neighbourhood_min_experience,neighbourhood_least_advantaged_is_ego,neighbourhood_least_advantaged_index,neighbourhood_scoped_vehicle_count,neighbourhood_radius,n_vehicles
0,0,0.6666666666666666,False,4,5,0.818326035121542,False,1,3,50.0,5
0,1,0.6666666666666666,False,4,5,0.7214174590232794,False,2,3,50.0,5
0,2,0.6383345676119326,False,3,5,0.6383345676119326,False,3,4,50.0,5
0,3,0.6155459995771508,False,3,5,0.6155459995771508,False,3,4,50.0,5
0,4,0.6209051055170346,False,3,5,0.6209051055170346,False,3,5,50.0,5
0,5,0.6274734132482308,False,3,5,0.6274734132482308,False,3,5,50.0,5
0,6,0.5860297629323943,False,4,5,0.5860297629323943,False,4,5,50.0,5
0,7,0.5167356546788677,False,2,5,0.5167356546788677,False,2,5,50.0,5
0,8,0.4798800845852693,False,2,5,0.4798800845852693,False,2,5,50.0,5
0,9,0.4888720712236818,False,2,5,0.4888720712236818,False,2,5,50.0,5
0,10,0.5263778256961834,False,2,5,0.5263778256961834,False,2,5,50.0,5
0,11,-0.6565355295561757,False,2,5,-0.6565355295561757,False,2,5,50.0,5
1,0,0.6666666666666666,False,4,5,0.834246146498559,False,2,3,50.0,5
1,1,0.6666666666666666,False,4,5,0.7073852298620297,False,3,4,50.0,5
1,2,0.6666666666666666,False,4,5,0.6672921792951609,False,3,4,50.0,5
1,3,0.6472836419626307,False,3,5,0.6472836419626307,False,3,5,50.0,5
1,4,0.6362101797273269,False,3,5,0.6362101797273269,False,3,5,50.0,5
1,5,0.6409780542297964,False,3,5,0.6582704931868115,False,3,4,50.0,5
1,6,-0.4555608065008854,False,2,5,-0.4555608065008854,False,2,4,50.0,5
2,0,0.6666666666666666,False,4,5,0.821272848947243,False,1,3,50.0,5
2,1,0.6666666666666666,False,4,5,0.7233269255125498,False,3,4,50.0,5
2,2,0.6666666666666666,False,4,5,0.6782432922156026,False,3,4,50.0,5
2,3,0.6570251367845015,False,3,5,0.6570251367845015,False,3,4,50.0,5
2,4,0.6463933841772784,False,3,5,0.6463933841772784,False,3,5,50.0,5
2,5,0.6410113208027549,False,3,5,0.6410113208027549,False,3,5,50.0,5
2,6,0.5602661430019253,False,4,5,0.5602661430019253,False,4,5,50.0,5
2,7,0.47847377584833384,False,4,5,0.47847377584833384,False,3,4,50.0,5
2,8,0.3894117529271972,False,4,5,0.3894117529271972,False,3,4,50.0,5
2,9,0.2881279683876553,False,4,5,0.2881279683876553,False,3,4,50.0,5
2,10,0.18414893879352506,False,4,5,0.18414893879352506,False,3,4,50.0,5
2,11,0.09611182553055701,False,4,5,0.09611182553055701,False,3,4,50.0,5
2,12,0.11347061478783356,False,4,5,0.11347061478783356,False,3,4,50.0,5
2,13,0.21307394901008783,False,4,5,0.21307394901008783,False,3,4,50.0,5
2,14,0.30995778364090637,False,4,5,0.6666846859053002,False,1,3,50.0,5
3,0,0.6666666666666666,False,4,5,0.8340152570133823,False,1,3,50.0,5
3,1,0.634015257013383,False,2,5,0.634015257013383,False,1,3,50.0,5
3,2,0.5070494961344832,False,2,5,0.5070494961344832,False,2,4,50.0,5
3,3,0.49538094486442125,False,2,5,0.49538094486442125,False,2,5,50.0,5
3,4,-0.6442312690783115,False,2,5,-0.6442312690783115,False,2,5,50.0,5
4,0,0.6666666666666666,False,4,5,0.8618147057710233,True,0,3,50.0,5
4,1,0.6666666666666666,False,4,5,0.697847006852872,False,2,3,50.0,5
4,2,0.6640362129804745,False,3,5,0.6640362129804745,False,2,3,50.0,5
4,3,0.647511281650748,False,3,5,0.647511281650748,False,2,3,50.0,5
4,4,0.639177971005673,False,3,5,0.639177971005673,False,2,3,50.0,5
4,5,0.6350535732860689,False,3,5,0.6350535732860689,False,3,4,50.0,5
4,6,0.5860297629323943,False,4,5,0.5896926615944926,False,1,4,50.0,5
4,7,0.4055253459870238,False,1,5,0.4055253459870238,False,1,4,50.0,5
4,8,0.39597984766364325,False,1,5,0.39597984766364325,False,1,5,50.0,5
4,9,0.4318614376288687,False,1,5,0.4318614376288687,False,1,5,50.0,5
4,10,0.48637097063118945,False,1,5,0.48637097063118945,False,1,4,50.0,5
4,11,-0.7813112383285585,False,1,5,-0.7813112383285585,False,1,5,50.0,5
