metric,baseline_mean,baseline_std,rawlsian_mean,rawlsian_std,difference_rawlsian_minus_baseline
total_reward,7.38494719870802,3.0423560324029886,5.688472495451142,2.7627155131912713,-1.6964747032568779
mean_reward,0.8345566692807467,0.041295915311210095,0.6722460131839886,0.0694969053148277,-0.1623106560967581
mean_min_experience,-0.06167409639709237,0.12458868903746495,0.001830062540683227,0.11179413790746098,0.0635041589377756
final_min_experience,-1.7227383752990135,0.7706477748919197,-1.7628513971573798,0.7996635336206044,-0.04011302185836629
mean_vehicle_experience,0.2972258066884041,0.042297531948068935,0.2908050942756538,0.0381670548198053,-0.0064207124127502735
mean_gini_experience,0.23317495796181523,0.025525595990492197,0.1994155708173343,0.030029884981281625,-0.03375938714448093
final_gini_experience,0.37549515926609317,0.07192117660380001,0.42515282332776294,0.11541818183974888,0.04965766406166977
total_collision_count,1.65,0.7833494518006404,1.74,0.6759953379792621,0.09000000000000008
final_collision_count,1.65,0.7833494518006404,1.74,0.6759953379792621,0.09000000000000008
mean_n_vehicles,5.0,0.0,5.0,0.0,0.0
steps,8.87,3.7109039438940052,8.28,3.3637401021403948,-0.5899999999999999
least_advantaged_ego_steps,0.0,0.0,0.12,0.40898988651643603,0.12
least_advantaged_non_ego_steps,8.87,3.7109039438940052,8.16,3.2558261686404637,-0.7099999999999991
least_advantaged_ego_ratio,0.0,0.0,0.011646825396825395,0.038645309782201875,0.011646825396825395
mean_least_advantaged_speed,17.011556420130045,2.096351331982098,18.347994275163718,1.8111486514762463,1.3364378550336724
least_advantaged_crash_steps,0.82,0.38612291966536916,0.87,0.3379976689896311,0.050000000000000044
mean_neighbourhood_min_experience,0.008721780329587593,0.12953585902450582,0.001830062540683227,0.11179413790746098,-0.006891717788904367
mean_neighbourhood_gini_experience,0.201411704275373,0.030209178651528796,0.1994155708173343,0.030029884981281625,-0.0019961334580387013
neighbourhood_least_advantaged_ego_ratio,0.010346611721611719,0.04006771622381727,0.011646825396825395,0.038645309782201875,0.0013002136752136764
mean_mobility_score,0.7157779273536711,0.041989081954426966,0.7198742865164875,0.03772758016252326,0.004096359162816476
mean_risk_penalty,0.6003976300666666,0.06364835382436589,0.6049331175264006,0.05575032804063128,0.004535487459733978
mean_low_speed_penalty,0.001780753968253965,0.007063338582475171,0.000583333333333332,0.0034030998610710727,-0.001197420634920633
mean_collision_penalty,0.05904241175491173,0.033795376271813185,0.06321381673881671,0.030274038635378007,0.004171404983904975
reason_collision_steps,0.82,0.38612291966536916,0.87,0.3379976689896311,0.050000000000000044
reason_low_mobility_steps,4.28,3.949376628985359,3.51,2.9797125479963444,-0.7700000000000005
reason_low_speed_steps,0.0,0.0,0.0,0.0,0.0
reason_risk_steps,3.77,2.1828301525193106,3.9,2.3203099758089185,0.1299999999999999
reason_none_steps,0.0,0.0,0.0,0.0,0.0
reason_combined_steps,0.0,0.0,0.0,0.0,0.0
