metric,baseline_mean_across_seeds,baseline_std_across_seeds,rawlsian_mean_across_seeds,rawlsian_std_across_seeds,difference_rawlsian_minus_baseline,rawlsian_better_seed_count,n_seeds
total_reward,11.526212208657407,1.9341895252708963,11.46119220033638,1.4098697555811983,-0.06502000832102617,2.0,5
mean_reward,0.8451566637132354,0.023333610520730536,0.719815694193737,0.01802368907036053,-0.12534096951949836,0.0,5
mean_min_experience,0.11873268730291231,0.06967028930780923,0.1713369159266678,0.05339527422965973,0.052604228623755495,3.0,5
final_min_experience,-0.37318808768739614,0.5301935565527338,-0.07582584482612292,0.47032055321315075,0.2973622428612732,2.0,5
mean_vehicle_experience,0.32891425530066176,0.03591543389678369,0.3589613902333212,0.02161593082190659,0.030047134932659425,3.0,5
mean_gini_experience,0.15735834127785703,0.01756585708137714,0.15258776738821803,0.02381051054772749,-0.0047705738896390015,2.0,5
final_gini_experience,0.2098932974157755,0.04888936321616381,0.1922912149396568,0.05078159461962495,-0.01760208247611869,1.0,5
total_collision_count,0.5439999999999999,0.4451336877837938,0.296,0.3980753697479913,-0.24799999999999994,2.0,5
final_collision_count,0.5439999999999999,0.4451336877837938,0.296,0.3980753697479913,-0.24799999999999994,2.0,5
least_advantaged_ego_ratio,0.047184313725490194,0.039293557195329974,0.08116176470588235,0.03125352575266218,0.033977450980392156,3.0,5
mean_risk_penalty,0.5916757362592291,0.0701593092325225,0.5241513072170292,0.03265920259540449,-0.06752442904219991,3.0,5
mean_mobility_score,0.6677991822538056,0.028906424313774715,0.6419925244532723,0.014125871686184708,-0.025806657800533372,0.0,5
mean_low_speed_penalty,0.008823529411764706,0.010806572394631668,0.01719779411764706,0.006025554002584517,0.008374264705882355,0.0,5
mean_collision_penalty,0.020200000000000003,0.016521016917853456,0.007898071188071187,0.010824254432387678,-0.012301928811928816,3.0,5
reason_collision_steps,0.27199999999999996,0.2225668438918969,0.148,0.19903768487399565,-0.12399999999999997,2.0,5
reason_low_mobility_steps,8.703999999999999,4.488142600230078,12.044,3.054056973928286,3.3400000000000016,,5
reason_low_speed_steps,0.0,0.0,0.0,0.0,0.0,,5
reason_risk_steps,4.68,1.535916664405983,3.62,1.163099307883897,-1.0599999999999996,3.0,5
steps,13.656,2.7327173289603155,15.812000000000001,1.6934509145528842,2.1560000000000006,3.0,5
mean_scoped_vehicle_count,3.646494117647059,0.34151626946136127,3.416243710211357,0.30447281700358353,-0.2302504074357019,,5
